fileName;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;
Begehren zurückweisen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;false;true;false;true;true;true;true;true;true;true;true;false;true;true;true;true;
Besoldungsrunde durchführen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;false;true;false;true;true;true;true;
Betreibungsbegehren bearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;true;true;false;false;true;false;true;true;true;true;false;false;false;true;true;true;true;
Betreibungsregisterauszug ausstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;true;true;false;false;true;false;true;true;true;true;true;false;false;true;true;true;true;
Bewerber auswählen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;false;true;false;false;true;true;true;true;true;true;false;false;true;true;true;true;
Bewerbungsgespräch führen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;false;false;true;true;true;true;
Budgetdaten erfassen (Finanzamt).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Budgetdaten erfassen (Hochbauamt).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;true;false;true;false;true;true;true;true;true;false;true;true;true;true;true;false;
Budgetdaten erfassen (Schulamt).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Budgetdaten erfassen (Stadtwerk).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Budgetdaten erfassen (Tiefbauamt).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Debitoren-Inkasso.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
